understat_id,player_name,fpl_id,web_name,fpl_code
7814,Taiwo Awoniyi,424,Awoniyi,210156
7931,Takehiro Tomiyasu,22,Tomiyasu,223723
7943,Igor Julio,606,Igor,223434
7958,Sandro Tonali,417,Tonali,432422
7988,Billy Gilmour,124,Gilmour,243568
8066,Arnaut Danjuma Groeneveld,601,Danjuma,220307
8067,Reece James,172,James,225796
8127,Amad Diallo Traore,371,Amad,493250
8150,Anthony Gordon,412,Gordon,232826
8204,Neco Williams,437,N.Williams,215136
8214,Tyrick Mitchell,210,Mitchell,244723
8226,Tariq Lamptey,131,Lamptey,232792
8252,Nicolás Domínguez,712,Dominguez,250199
8260,Erling Haaland,351,Haaland,223094
8272,João Pedro,135,João Pedro,475168
8285,Sander Berge,475,Berge,207189
8286,Jack Robinson,576,Robinson,83427
8288,Tomas Soucek,530,Souček,215439
8323,Josh Brownhill,161,Brownhill,172782
8327,Bruno Guimarães,394,Bruno G.,208706
8379,Alexis Mac Allister,329,Mac Allister,243016
8384,Armando Broja,156,Broja,440323
8430,Chris Richards,194,C.Richards,427623
8476,Jarrad Branthwaite,245,Branthwaite,480455
8496,Tommy Doyle,351,Doyle,220394
8497,Cole Palmer,182,Palmer,244851
8562,Luke Thomas,693,Thomas,244619
8635,Sven Botman,393,Botman,220237
8666,Cheick Oumar Doucoure,193,C.Doucouré,438464
8706,Eberechi Eze,199,Eze,232413
8719,Kalvin Phillips,359,Phillips,155405
8720,Jack Harrison,661,Harrison,221399
8756,Dara O&#039;Shea,173,O'Shea,216616
8776,Wes Foderingham,482,Foderingham,82143
8778,Fabio Silva,545,Fábio Silva,449988
8780,Joël Veltman,145,Veltman,111478
8786,Stefan Ortega Moreno,358,Ortega Moreno,88248
8808,Wataru Endo,668,Endo,158983
8812,Sasa Kalajdzic,555,Kalajdžić,429414
8831,Iyenoma Destiny Udogie,519,Udogie,487053
8845,Hee-Chan Hwang,550,Hee Chan,184754
8852,Konstantinos Tsimikas,337,Tsimikas,214285
8858,Guglielmo Vicario,520,Vicario,184254
8859,Mikkel Damsgaard,89,Damsgaard,440089
8864,Matthew Cash,32,Cash,199796
8865,Ollie Watkins,58,Watkins,178301
8918,Max Lowe,484,Lowe,155197
8923,Ivo Grbic,790,Grbić,173268
8940,Antonee Robinson,255,Robinson,169528
8942,Aaron Hickey,93,Hickey,472713
8961,Rúben Dias,361,Rúben,171314
8965,Vladimir Coufal,516,Coufal,164555
8981,Jéremy Doku,678,Doku,248875
9017,Malo Gusto,203,Gusto,482609
9021,Pape Sarr,499,Sarr,482442
9040,Conor Gallagher,169,Gallagher,232787
9077,James Trafford,596,Trafford,432720
9098,Robert Sánchez,185,Sánchez,215059
9105,Radu Dragusin,777,Drăgușin,493125
9154,Elliot Anderson,423,Anderson,215379
9156,Kevin Schade,106,Schade,513418
9205,Jayden Bogle,476,Bogle,226182
9274,Naouirou Ahamada,190,Ahamada,466117
9284,Jakub Moder,144,Moder,243505
9324,Facundo Pellistri,384,Pellistri,488404
9332,Dane Scarlett,500,Scarlett,490145
