id_x,full_name,games,time,goals,xG,assists_x,xA,shots,key_passes,yellow_cards_x,red_cards_x,position,team_title,team_short,npg,npxG,xGChain,xGBuildup,team_short.1,pos_x,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id_y,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,web_name_2,Team,key,pos_y,minutes,goals_scored,assists_y,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards_y,red_cards_y,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type
2673,Albian Ajeti,9,114,0,0.2023516838,0,0.03874383122,3,2,0,0,S,West Ham,West Ham,0,0.2023516838,0.273331942,0.03223643079,West Ham,,,,181008,0,0,0,0,0,4,0,,0,Albian,0,447,FALSE,,,55,181008.jpg,0,Ajeti,0,FALSE,,a,19,21,9,0,0,0,0,0,1.6,Ajeti,Ajeti,West Ham,Ajeti West Ham,F,132,0,0,0,3,0,0,0,0,0,0,0,16,5.2,22.9,47,7.3,365,49,312,47,282,47,342,48
500,Alex Iwobi,25,1637,1,2.47862944,0,2.224674569,23,24,0,0,F M S,Everton,Everton,1,2.47862944,7.122992747,3.298394635,Everton,,,,153133,0,0,0,0,0,3,0,,0,Alex,0,159,FALSE,,,60,153133.jpg,0,Iwobi,0.2,FALSE,,a,7,11,52,0,0,0,0,0,8.7,Iwobi,Iwobi,Everton,Iwobi Everton,M,1591,1,0,4,30,0,0,0,0,0,0,2,227,246.4,383.7,329,95.9,231,97,90,62,103,56,143,77
635,Alex McCarthy,28,2520,0,0,0,0.02369353548,0,1,0,0,GK,Southampton,Southampton,0,0,3.154215794,3.130522259,Southampton,,,,58376,0,0,0,0,0,1,0,,0,Alex,0,363,FALSE,,,45,58376.jpg,0,McCarthy,12.2,FALSE,,a,16,20,104,0,0,0,0,0,23.1,McCarthy,McCarthy,Southampton,McCarthy Southampton,GK,2520,0,0,7,35,0,1,0,0,0,79,8,491,652,10,0,66,56,11,327,5,363,19,209,11
966,Alex Oxlade-Chamberlain,30,1511,4,2.504467506,1,0.943688741,40,17,1,0,F M S,Liverpool,Liverpool,4,2.504467506,5.69325125,2.64896567,Liverpool,,,,81880,0,0,0,0,0,3,0,,0,Alex,0,248,FALSE,,,65,81880.jpg,0,Oxlade-Chamberlain,0.3,FALSE,,a,11,14,76,0,0,0,0,0,11.7,Chamberlain,Chamberlain,Liverpool,Oxlade-Chamberlain Liverpool,M,1475,4,1,8,12,1,0,0,1,0,0,2,268,300,298.2,406,99.9,202,84,119,77,83,43,133,70
3277,Alexandre Lacazette,30,1890,10,8.664648203,4,3.342290916,52,24,8,0,F S,Arsenal,Arsenal,10,8.664648203,12.06130165,2.505634623,Arsenal,,,,59966,0,0,0,0,0,4,0,,0,Alexandre,0,6,FALSE,,,85,59966.jpg,0,Lacazette,1.8,FALSE,,a,1,3,118,0,0,0,0,0,13.9,Lacazette,Lacazette,Arsenal,Lacazette Arsenal,F,1867,10,7,5,25,0,0,0,8,0,0,16,387,536.4,337.7,861,173.8,99,15,105,14,31,17,45,17
8379,Alexis Mac Allister,9,357,0,0.5874678632,0,0.2033513142,7,5,0,0,F M S,Brighton,Brighton,0,0.5874678632,1.172587945,0.5007040575,Brighton,,,,243016,0,0,0,0,0,3,0,,0,Alexis,0,80,FALSE,,,55,243016.jpg,0,Mac Allister,0.2,FALSE,,a,3,36,12,0,0,0,0,0,2.2,Mac Allister,Mac Allister,Brighton,Mac Allister Brighton,M,348,0,0,0,6,0,0,0,0,0,0,0,35,28.4,73.8,66,16.9,343,143,245,127,266,130,321,138
6842,Alireza Jahanbakhsh,10,301,2,0.5862441808,0,0.9932846725,12,4,0,0,F M S,Brighton,Brighton,2,0.5862441808,1.588851389,0.7349357419,Brighton,,,,165210,0,0,0,0,0,3,0,,0,Alireza,0,71,FALSE,,,55,165210.jpg,0,Jahanbakhsh,0.2,FALSE,,a,3,36,28,0,0,0,0,0,5.1,Jahanbakhsh,Jahanbakhsh,Brighton,Jahanbakhsh Brighton,M,305,2,1,1,4,0,0,0,0,0,0,2,90,90.6,62.5,106,25.9,312,132,265,134,224,114,298,130
1257,Alisson,29,2545,0,0,1,0.2629152238,0,1,0,1,GK,Liverpool,Liverpool,0,0,6.831634546,6.568719337,Liverpool,,,,116535,0,0,0,0,0,1,0,,0,Alisson,0,252,FALSE,,,60,116535.jpg,0,Ramses Becker,4.2,FALSE,,a,11,14,122,0,0,0,0,0,20.3,Alisson,Alisson,Liverpool,Ramses Becker Liverpool,GK,2543,0,1,13,24,0,0,0,0,1,58,11,558,503,10,0,51.5,116,17,330,8,471,46,247,15
101,Allan Saint-Maximin,26,1896,3,2.942516947,4,4.331811693,46,33,0,0,F M S,Newcastle United,Newcastle,3,2.942516947,9.657795262,4.271792185,Newcastle,,,,170137,0,0,0,0,0,3,0,,0,Allan,0,338,FALSE,,,55,170137.jpg,0,Saint-Maximin,9.8,FALSE,,a,14,4,92,0,0,0,0,0,16.7,Saint-Maximin,Saint-Maximin,Newcastle,Saint-Maximin Newcastle,M,1860,3,5,8,22,0,0,0,0,0,0,7,321,434,423.4,542,139.8,144,55,81,58,56,29,70,40
200,Andreas Christensen,21,1758,0,0.61414399,0,0.8512690179,7,4,5,0,D,Chelsea,Chelsea,0,0.61414399,6.598435763,6.25327969,Chelsea,,,,135363,0,0,0,0,0,2,0,,0,Andreas,0,116,FALSE,,,50,135363.jpg,0,Christensen,0.4,FALSE,,a,5,8,34,0,0,0,0,0,6.8,Christensen,Christensen,Chelsea,Christensen Chelsea,D,1751,0,0,3,33,0,0,0,5,0,0,0,325,353.6,70.9,96,52.1,176,65,252,83,238,74,246,81
